ema_cross_diff_pct,atr_pct,price_to_fast_pct,price_to_slow_pct,trend_direction,trend_strength,regime_ranging,regime_trending,regime_unknown,volatility_level_high,volatility_level_medium,volatility_level_normal,strategy_signal_BUY,strategy_signal_SELL,target,r_multiple,pnl,timestamp,symbol,exit_type
0.15,0.45,0.08,0.23,1.0,0.65,False,True,False,False,False,True,True,False,0,-0.6099693600001241,-0.6099693600001241,2026-01-19 11:53:56.442875,BTC/USDT,
-0.08,0.42,-0.05,0.15,-1.0,0.45,False,True,False,False,False,True,False,True,0,-0.4879420500004656,-0.4879420500004656,2026-01-19 11:54:28.649554,BTC/USDT,
0.22,0.48,0.12,0.28,1.0,0.72,False,True,False,True,False,False,True,False,1,0.4091714899999068,0.4091714899999068,2026-01-19 11:55:08.130778,BTC/USDT,
-0.12,0.44,-0.08,0.18,-1.0,0.55,True,False,False,False,False,True,False,True,1,1.2220714799999068,1.2220714799999068,2026-01-19 11:55:58.316520,BTC/USDT,
0.18,0.46,0.09,0.25,1.0,0.6,False,True,False,False,False,True,True,False,0,0.0,0.0,2026-01-19 11:57:17.638618,BTC/USDT,
-0.15,0.49,-0.1,0.2,-1.0,0.65,False,True,False,True,False,False,False,True,1,1.2210051000004656,1.2210051000004656,2026-01-19 11:57:45.867562,BTC/USDT,
0.12,0.43,0.06,0.18,1.0,0.48,True,False,False,False,False,True,True,False,1,0.0005334700004968,0.0005334700004968,2026-01-19 11:58:31.091053,BTC/USDT,
-0.11,0.45,-0.07,0.17,-1.0,0.52,True,False,False,False,False,True,False,True,0,-0.3713508000003416,-0.3713508000003416,2026-01-19 11:58:58.663562,BTC/USDT,
-0.13,0.47,-0.08,0.18,-1.0,0.58,False,True,False,True,False,False,False,True,0,-0.2902457600001242,-0.2902457600001242,2026-01-19 11:59:08.816560,BTC/USDT,
0.09,0.42,0.05,0.13,1.0,0.38,True,False,False,False,False,True,True,False,0,-0.0010665200002172,-0.0010665200002172,2026-01-19 12:00:16.111638,BTC/USDT,
0.14,0.44,0.07,0.2,1.0,0.55,False,True,False,False,False,True,True,False,0,-0.0005332600004966,-0.0005332600004966,2026-01-19 12:00:26.137641,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,False,True,False,0,-0.4079438999996896,-0.4079438999996896,2026-01-20 09:22:32.725714,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,False,True,False,0,-0.4074106399999689,-0.4074106399999689,2026-01-20 09:35:17.441485,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,False,True,False,0,-0.4079438999996896,-0.4079438999996896,2026-01-20 09:36:30.860161,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,False,True,False,0,0.0,0.0,2026-01-20 09:53:50.624278,BTC/USDT,
0.0065165836804577,0.9962529272688042,0.0059670310456866,0.0124840035727156,1.0,6.51658368045772e-05,True,False,False,False,True,False,False,True,0,-0.3249258599998136,-0.3249258599998136,2026-01-20 09:59:37.755048,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,True,False,0,-0.6390049200001247,-0.6390049200001247,2026-01-20 12:10:28.447211,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,True,False,1,0.2901488600006855,0.2901488600006855,2026-01-20 12:10:30.805174,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,True,False,1,1.4200978399999378,1.4200978399999378,2026-01-20 12:10:33.194792,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,True,False,1,1.4207127400004362,1.4207127400004362,2026-01-20 12:10:35.472254,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,True,False,1,0.5884705400002805,0.5884705400002805,2026-01-20 12:10:37.711851,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,True,False,1,0.5884705400002805,0.5884705400002805,2026-01-20 12:10:40.022902,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,True,False,1,0.5884705400002805,0.5884705400002805,2026-01-20 12:10:42.297917,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,True,False,1,1.067430869999626,1.067430869999626,2026-01-20 12:10:44.545328,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,True,False,0,-0.8406878999998442,-0.8406878999998442,2026-01-20 12:10:46.866287,BTC/USDT,
0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,True,False,0,-0.8408762999998441,-0.8408762999998441,2026-01-20 12:10:49.215206,BTC/USDT,
-0.0033091907161079,-0.407256571655574,0.0062360858203508,0.0029266887402699,-1.0,3.309190716107941e-05,False,False,True,False,True,False,True,False,1,0.5691727200002493,0.5691727200002493,2026-01-20 12:10:51.907057,BTC/USDT,
-0.0018696241266785,-0.3930361739716997,-0.0033448503481174,-0.0052144119386668,-1.0,1.8696241266785195e-05,False,False,True,False,True,False,True,False,0,-0.9385737299999376,-0.9385737299999376,2026-01-20 12:10:54.434700,BTC/USDT,
0.0001196398828716,-0.180976923991416,0.0073921513389701,0.007511800065803,1.0,1.196398828716967e-06,False,False,True,False,True,False,True,False,1,0.0455396000003118,0.0455396000003118,2026-01-20 12:10:56.906299,BTC/USDT,
-0.00296015997719,-0.3456859442347294,-0.0105008408763942,-0.0134606900118954,-1.0,2.9601599771900212e-05,False,False,True,False,True,False,True,False,0,0.0,0.0,2026-01-20 12:10:59.405944,BTC/USDT,
-0.0052406171196739,-0.2469574582774795,-0.0095916928430513,-0.014831807298828,-1.0,5.240617119673944e-05,False,False,True,False,True,False,True,False,0,0.0,0.0,2026-01-20 12:11:01.777184,BTC/USDT,
-0.010128784436732,-0.2506963788412693,-0.0198976755547792,-0.0300244445988464,-1.0,0.0001012878443673,False,False,True,False,True,False,True,False,0,-0.0005358999997192,-0.0005358999997192,2026-01-20 12:11:04.136889,BTC/USDT,
-0.0118148593809213,-0.1980493630684199,-0.0093092962466582,-0.0211230557473186,-1.0,0.0001181485938092,False,False,True,False,True,False,True,False,1,0.0005358999997192,0.0005358999997192,2026-01-20 12:11:06.590225,BTC/USDT,
